Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
77480,1601,101,92,0,1500
77481,4,0,0,0,4
77482,699,123,0,0,576
77483,123,0,0,0,123
77484,2550,214,92,37,2336
77485,874,38,23,0,836
77486,1653,72,22,0,1581
77488,3140,253,165,5,2887
77489,9147,475,253,25,8672
77493,6806,440,136,0,6366
77494,24159,1085,91,0,23074
77498,13399,628,150,0,12771
77502,9412,719,231,12,8693
77503,6478,301,173,17,6177
77504,5803,553,122,20,5250
77505,6021,295,83,31,5726
77506,8835,647,320,35,8188
77507,0,0,0,0,0
77510,3001,94,35,0,2907
77511,10864,738,400,28,10126
77514,845,52,15,0,793
77515,6883,391,273,20,6492
77517,1279,58,40,0,1221
77518,2154,138,0,0,2016
77519,345,73,0,0,272
77520,9270,602,270,59,8668
77521,13243,581,305,68,12662
77523,5455,399,72,0,5056
77530,7677,335,109,30,7342
77531,4015,344,143,0,3671
77532,7188,481,209,17,6707
77533,145,6,0,0,139
77534,795,18,0,0,777
77535,9390,501,224,52,8889
77536,8086,519,162,32,7567
77538,241,13,4,4,228
77539,10290,753,262,75,9537
77541,4573,266,100,30,4307
77545,6878,320,149,0,6558
77546,12367,414,39,0,11953
77547,2792,128,11,0,2664
77550,5818,243,121,33,5575
77551,4908,303,162,59,4605
77554,1855,33,23,0,1822
77560,200,10,10,0,190
77561,7,0,0,0,7
77562,2317,88,52,0,2229
77563,2031,108,68,10,1923
77564,387,40,0,0,347
77565,1523,3,0,0,1520
77566,7228,512,338,130,6716
77568,3231,245,184,7,2986
77571,8656,605,175,33,8051
77573,20419,987,86,0,19432
77575,3305,242,52,0,3063
77577,250,2,0,0,248
77578,4492,257,0,0,4235
77580,127,0,0,0,127
77581,10794,802,141,21,9992
77583,6378,542,38,8,5836
77584,21361,1293,155,25,20068
77585,300,15,0,0,285
77586,5383,262,65,21,5121
77587,4142,323,138,0,3819
77590,6977,426,207,8,6551
77591,3293,233,65,0,3060
77597,195,0,0,0,195
77598,6831,428,201,36,6403
77611,1890,100,26,0,1790
77612,1942,43,0,0,1899
77613,228,0,0,0,228
77614,184,0,0,0,184
77615,160,0,0,0,160
77616,100,0,0,0,100
77617,15,0,0,0,15
77619,3591,170,80,15,3421
77622,357,17,0,0,340
77623,84,23,20,0,61
77624,157,0,0,0,157
77625,1722,93,41,4,1629
77627,4974,193,0,0,4781
77629,128,0,0,0,128
77630,6182,395,300,25,5787
77632,5674,238,144,102,5436
77640,3521,157,70,5,3364
77642,9398,875,423,42,8523
77650,216,0,0,0,216
77651,2788,104,0,0,2684
77655,78,5,1,0,73
77656,3789,282,150,92,3507
77657,5016,185,39,39,4831
77659,1114,4,0,0,1110
77660,306,59,0,0,247
77661,330,0,0,0,330
77662,6485,427,208,15,6058
77663,91,0,0,0,91
77664,617,24,24,0,593
77665,1272,56,55,55,1216
77701,3390,135,70,35,3255
77702,621,21,0,0,600
77703,3971,163,103,64,3808
77705,7168,464,263,22,6704
77706,6418,356,138,0,6062
77707,4224,342,145,46,3882
77708,3113,236,84,42,2877
77713,3286,101,32,0,3185
77801,4823,225,87,15,4598
77802,6440,337,100,0,6103
77803,8247,761,387,50,7486
77807,2562,135,81,55,2427
77808,2469,356,87,27,2113
77830,689,23,21,0,666
77831,540,37,0,0,503
77833,6806,371,186,102,6435
77835,266,10,0,0,256
77836,2394,119,17,0,2275
77837,489,0,0,0,489
77840,22994,534,178,4,22460
77845,14960,606,9,8,14354
77853,310,2,2,0,308
77855,9,0,0,0,9
77856,891,59,22,0,832
77857,178,18,3,0,160
77859,1525,53,13,13,1472
77861,524,35,0,0,489
77864,1565,125,37,3,1440
77865,135,4,0,0,131
77867,8,0,0,0,8
77868,2918,81,39,0,2837
77871,446,20,20,3,426
77872,326,55,24,4,271
77873,279,0,0,0,279
77876,15,0,0,0,15
77878,127,0,0,0,127
77879,952,9,5,0,943
77880,159,0,0,0,159
77901,10630,834,470,90,9796
77904,5583,214,140,4,5369
77905,3069,147,43,0,2922
77950,54,2,0,0,52
77951,381,0,0,0,381
77954,2301,84,51,13,2217
77957,1753,90,62,19,1663
77960,0,0,0,0,0
77961,24,0,0,0,24
77962,718,52,20,9,666
77963,1117,74,11,0,1043
77964,1625,97,18,0,1528
77968,669,61,7,0,608
77969,34,0,0,0,34
77970,59,4,0,0,55
77971,252,0,0,0,252
77973,22,0,0,0,22
77974,109,0,0,0,109
77975,361,10,0,0,351
77976,18,0,0,0,18
77977,235,6,0,0,229
77978,131,9,5,0,122
77979,4031,279,109,14,3752
77982,158,16,0,0,142
77983,527,46,35,8,481
77984,703,20,12,12,683
77987,67,0,0,0,67
77988,82,10,0,0,72
77990,160,2,0,0,158
77991,96,13,13,0,83
77993,37,0,0,0,37
77994,70,0,0,0,70
77995,1778,101,31,6,1677
78001,0,0,0,0,0
78002,1960,136,40,25,1824
78003,1481,64,0,0,1417
78004,306,37,0,0,269
78005,77,0,0,0,77
78006,6489,154,67,0,6335
78007,16,0,0,0,16
78008,47,34,0,0,13
78009,1935,176,45,0,1759
78010,510,58,0,0,452
78011,442,37,17,0,405
78012,104,13,7,7,91
78013,1115,96,7,0,1019
78014,1002,143,71,28,859
78015,2568,124,0,0,2444
78016,2012,138,53,0,1874
78017,713,21,12,9,692
78019,415,24,21,0,391
78021,83,0,0,0,83
78022,1114,85,39,0,1029
78023,7193,215,33,0,6978
78024,162,6,0,0,156
78025,773,30,12,0,743
78026,1252,43,0,0,1209
78027,65,0,0,0,65
78028,7791,411,229,18,7380
78029,0,0,0,0,0
78039,442,9,0,0,433
78040,9906,600,312,38,9306
78041,11381,655,329,52,10726
78043,11991,743,371,97,11248
78044,26,9,0,0,17
78045,16746,1204,302,36,15542
78046,17806,1478,516,162,16328
78050,147,0,0,0,147
78052,1615,0,0,0,1615
78055,316,0,0,0,316
78056,267,30,0,0,237
78057,178,25,25,0,153
78058,146,10,0,0,136
78059,1384,195,30,3,1189
78060,0,0,0,0,0
78061,2523,257,193,30,2266
78063,1685,168,50,0,1517
78064,3494,210,20,0,3284
78065,2465,183,95,0,2282
78066,85,0,0,0,85
78067,130,0,0,0,130
78069,1439,58,22,4,1381
78070,3024,205,84,0,2819
78071,704,103,59,0,601
78072,109,7,0,0,102
78073,2007,183,89,2,1824
78075,9,0,0,0,9
78076,3323,337,106,0,2986
78101,1844,57,13,0,1787
78102,4815,423,38,10,4392
78104,14,10,10,0,4
78107,115,0,0,0,115
78108,9448,654,122,42,8794
78109,9908,731,240,18,9177
78112,1787,134,63,10,1653
78113,618,35,0,0,583
78114,4455,374,274,15,4081
78116,47,11,0,0,36
78117,130,0,0,0,130
78118,669,71,46,0,598
78119,973,106,52,0,867
78121,2591,69,19,0,2522
78122,77,0,0,0,77
78123,488,30,0,0,458
78124,1234,42,15,0,1192
78125,3,0,0,0,3
78130,15942,918,443,45,15024
78132,5250,279,126,23,4971
78133,3187,130,12,0,3057
78140,812,34,0,0,778
78141,134,0,0,0,134
78142,42,0,0,0,42
78143,225,0,0,0,225
78144,0,0,0,0,0
78145,13,5,0,0,8
78146,151,15,11,0,136
78147,522,17,10,0,505
78148,5002,453,227,5,4549
78150,0,0,0,0,0
78151,327,33,23,7,294
78152,527,13,10,0,514
78154,8984,606,289,19,8378
78155,10599,386,69,25,10213
78159,199,4,4,4,195
78160,929,59,21,0,870
78161,141,0,0,0,141
78162,76,0,0,0,76
78163,2006,173,0,0,1833
78164,554,58,53,0,496
78201,10321,583,289,17,9738
78202,3034,199,145,25,2835
78203,1321,116,82,31,1205
78204,2613,190,96,49,2423
78205,148,0,0,0,148
78207,12151,880,560,63,11271
78208,971,94,45,11,877
78209,9478,490,76,0,8988
78210,9613,715,343,54,8898
78211,8116,626,246,57,7490
78212,7129,398,241,17,6731
78213,11474,629,260,49,10845
78214,6155,383,117,0,5772
78215,537,13,0,0,524
78216,10318,617,363,113,9701
78217,8811,397,225,35,8414
78218,9202,511,295,66,8691
78219,3926,314,197,52,3612
78220,3441,259,204,20,3182
78221,8926,721,283,64,8205
78222,5938,522,222,56,5416
78223,12921,690,285,72,12231
78224,4949,207,59,0,4742
78225,3532,188,65,7,3344
78226,1412,55,28,0,1357
78227,12274,979,649,121,11295
78228,15314,929,434,36,14385
78229,9669,396,163,41,9273
78230,11428,565,202,41,10863
78231,1940,50,0,0,1890
78232,8875,416,84,0,8459
78233,11894,605,238,0,11289
78234,2151,110,0,0,2041
78235,333,22,5,5,311
78236,1607,30,0,0,1577
78237,8923,471,331,41,8452
78238,7143,213,41,0,6930
78239,6632,270,156,37,6362
78240,15298,919,157,9,14379
78242,9194,715,287,30,8479
78243,18,0,0,0,18
78244,8379,382,135,21,7997
78245,17198,1430,355,97,15768
78247,14003,773,103,37,13230
78248,3202,145,20,0,3057
78249,16696,643,244,49,16053
78250,15580,854,192,59,14726
78251,16407,1167,296,1,15240
78252,1807,105,61,0,1702
78253,9237,799,72,0,8438
78254,13939,1153,257,15,12786
78255,3262,134,0,0,3128
78256,2597,95,0,0,2502
78257,1000,123,16,0,877
78258,11491,561,74,0,10930
78259,6033,303,9,0,5730
78260,7447,339,36,0,7108
78261,3831,239,0,0,3592
78263,1036,21,21,0,1015
78264,2504,111,6,6,2393
78266,1234,88,25,0,1146
78330,182,19,13,0,163
78332,6693,502,140,43,6191
78335,0,0,0,0,0
78336,2660,257,126,8,2403
78338,4,0,0,0,4
78339,178,0,0,0,178
78340,55,0,0,0,55
78341,425,19,0,0,406
78342,62,0,0,0,62
78343,1024,86,51,0,938
78344,93,9,9,0,84
78349,49,0,0,0,49
78351,111,7,7,0,104
78352,112,0,0,0,112
78353,60,0,0,0,60
78355,1468,109,93,0,1359
78357,783,63,38,0,720
78358,110,12,12,0,98
78359,430,35,7,0,395
78361,898,155,117,8,743
78362,2241,139,72,0,2102
78363,7737,407,201,13,7330
78368,2189,195,131,60,1994
78369,59,8,8,0,51
78370,1038,99,46,0,939
78371,61,7,7,0,54
78372,1696,203,61,0,1493
78373,916,13,0,0,903
78374,4422,369,88,28,4053
78375,481,20,20,0,461
78376,138,42,0,0,96
78377,798,101,83,8,697
78379,272,13,5,0,259
78380,5244,241,92,0,5003
78382,3526,290,69,22,3236
78383,416,0,0,0,416
78384,1357,101,50,50,1256
78385,68,7,0,0,61
78387,2299,299,231,16,2000
78389,326,38,15,0,288
78390,1077,81,25,19,996
78391,81,0,0,0,81
78393,448,17,4,0,431
78401,1156,102,64,0,1054
78402,53,0,0,0,53
78404,3957,241,155,16,3716
78405,3644,302,199,55,3342
78406,184,36,6,0,148
78407,699,32,6,6,667
78408,2860,205,155,19,2655
78409,799,95,40,0,704
78410,6488,331,81,11,6157
78411,6590,380,260,0,6210
78412,10382,605,282,37,9777
78413,9826,639,186,0,9187
78414,9829,513,126,30,9316
78415,9706,375,218,46,9331
78416,3389,222,112,64,3167
78417,979,90,9,4,889
78418,6722,362,206,0,6360
78419,254,20,13,0,234
78501,16321,971,311,163,15350
78503,5821,343,160,49,5478
78504,13797,737,112,0,13060
78516,8172,429,151,53,7743
78520,16013,1001,353,127,15012
78521,23482,1496,619,250,21986
78526,12213,575,44,0,11638
78535,118,20,0,0,98
78536,91,23,16,0,68
78537,10137,712,251,26,9425
78538,2997,195,71,7,2802
78539,8470,574,199,15,7896
78541,12744,794,169,0,11950
78542,16937,1275,398,67,15662
78543,2434,42,35,0,2392
78545,68,15,5,5,53
78548,117,0,0,0,117
78549,82,9,0,0,73
78550,11728,823,336,33,10905
78552,8559,595,288,0,7964
78557,3245,230,59,17,3015
78558,265,0,0,0,265
78559,2867,76,50,0,2791
78560,1016,114,37,0,902
78561,213,6,6,0,207
78562,875,54,38,14,821
78563,18,0,0,0,18
78564,0,0,0,0,0
78565,34,0,0,0,34
78566,4635,307,54,20,4328
78567,169,13,10,0,156
78569,1038,77,10,0,961
78570,8039,597,111,26,7442
78572,18400,1233,201,97,17167
78573,9293,974,407,55,8319
78574,17538,1361,481,124,16177
78575,2616,137,22,0,2479
78576,2343,249,79,0,2094
78577,19175,1202,341,37,17973
78578,2344,233,113,65,2111
78579,1289,48,0,0,1241
78580,2912,125,15,0,2787
78582,10384,714,314,24,9670
78583,1376,80,42,0,1296
78584,4712,174,39,2,4538
78585,86,0,0,0,86
78586,13840,826,576,105,13014
78588,56,0,0,0,56
78589,9667,585,220,81,9082
78590,88,0,0,0,88
78591,81,0,0,0,81
78592,234,9,0,0,225
78593,1517,142,48,20,1375
78594,363,17,0,0,346
78595,1760,141,55,18,1619
78596,16218,1267,453,59,14951
78597,388,0,0,0,388
78598,0,0,0,0,0
78602,4958,410,47,27,4548
78605,1209,36,0,0,1173
78606,1100,38,5,0,1062
78607,0,0,0,0,0
78608,106,0,0,0,106
78609,204,0,0,0,204
78611,2652,147,90,90,2505
78614,33,0,0,0,33
78616,1167,134,84,0,1033
78618,38,2,2,0,36
78619,697,10,0,0,687
78622,63,6,0,0,57
78623,131,0,0,0,131
78624,3736,247,97,30,3489
78629,2607,185,72,13,2422
78631,377,6,0,0,371
78632,136,23,0,0,113
78635,0,0,0,0,0
78636,665,40,0,0,625
78638,521,0,0,0,521
78639,1253,102,52,14,1151
78640,11834,742,275,64,11092
78643,979,43,26,0,936
78644,4408,182,120,10,4226
78648,1805,74,14,0,1731
78650,537,22,3,0,515
78655,927,74,56,39,853
78656,604,10,0,0,594
78657,815,20,0,0,795
78659,721,4,0,0,717
78661,108,0,0,0,108
78662,729,21,0,0,708
78666,24898,709,392,40,24189
78670,29,0,0,0,29
78671,125,14,0,0,111
78672,138,0,0,0,138
78675,0,0,0,0,0
78676,1886,52,10,0,1834
78677,8,0,0,0,8
78801,4833,537,276,17,4296
78802,380,27,27,27,353
78827,326,31,22,0,295
78828,44,0,0,0,44
78829,367,40,40,32,327
78830,107,19,0,0,88
78832,609,0,0,0,609
78833,253,38,15,0,215
78834,1919,10,10,0,1909
78836,8,0,0,0,8
78837,26,12,0,0,14
78838,13,0,0,0,13
78839,1936,76,23,0,1860
78840,10977,693,225,99,10284
78843,53,0,0,0,53
78850,289,14,0,0,275
78851,3,0,0,0,3
78852,13232,1121,433,72,12111
78860,56,9,0,0,47
78861,2553,314,241,45,2239
78870,249,6,6,6,243
78871,0,0,0,0,0
78872,518,24,24,8,494
78873,268,11,4,0,257
78877,153,0,0,0,153
78879,0,0,0,0,0
78880,386,7,0,0,379
78881,465,55,46,26,410
78883,37,0,0,0,37
78884,188,0,0,0,188
78885,0,0,0,0,0
78886,52,0,0,0,52
78931,8,0,0,0,8
78932,92,16,16,0,76
78933,99,0,0,0,99
78934,1130,54,0,0,1076
78935,333,0,0,0,333
78938,122,0,0,0,122
78940,330,11,0,0,319
78941,734,36,19,0,698
78942,1890,225,170,77,1665
78943,17,0,0,0,17
78944,96,0,0,0,96
78945,1932,57,28,28,1875
78946,129,0,0,0,129
78947,807,63,33,33,744
78948,175,0,0,0,175
78949,131,23,0,0,108
78950,564,33,0,0,531
78951,0,0,0,0,0
78953,209,0,0,0,209
78954,139,4,0,0,135
78956,924,82,31,3,842
78957,2078,62,10,0,2016
78959,392,12,0,0,380
78962,1016,98,36,0,918
78963,230,0,0,0,230
79001,47,0,0,0,47
79003,62,3,0,0,59
79005,370,44,3,0,326
79007,3280,225,100,36,3055
79009,533,40,0,0,493
79010,103,14,7,7,89
79011,57,13,0,0,44
79012,261,0,0,0,261
79013,926,136,122,43,790
79014,849,49,13,0,800
79015,6526,360,189,0,6166
79016,112,0,0,0,112
79018,85,3,3,0,82
79019,354,11,0,0,343
79021,26,2,0,0,24
79022,2285,255,42,34,2030
79024,96,5,3,0,91
79025,9,0,0,0,9
79027,1035,79,18,0,956
79029,3757,382,105,44,3375
79031,264,4,2,2,260
79032,30,0,0,0,30
79033,4,0,0,0,4
79034,154,8,8,0,146
79035,1037,84,4,0,953
79036,1059,59,11,0,1000
79039,147,4,0,0,143
79040,347,38,0,0,309
79041,699,51,11,0,648
79042,317,0,0,0,317
79043,366,10,7,7,356
79044,179,0,0,0,179
79045,4500,418,159,0,4082
79046,107,13,8,8,94
79051,18,0,0,0,18
79052,229,12,0,0,217
79053,42,0,0,0,42
79054,54,0,0,0,54
79056,7,3,0,0,4
79057,290,16,10,10,274
79058,0,0,0,0,0
79059,172,8,0,0,164
79061,95,5,0,0,90
79062,60,6,0,0,54
79063,140,24,7,0,116
79064,407,29,8,0,378
79065,4330,320,110,12,4010
79068,705,60,12,0,645
79070,2479,248,110,22,2231
79072,6156,423,113,14,5733
79078,38,0,0,0,38
79079,488,15,0,0,473
79080,99,6,2,0,93
79081,905,54,0,0,851
79082,46,0,0,0,46
79083,452,56,10,0,396
79084,566,49,2,0,517
79085,0,0,0,0,0
79086,458,20,0,0,438
79087,121,3,0,0,118
79088,993,93,76,0,900
79091,35,0,0,0,35
79092,214,16,0,0,198
79093,18,0,0,0,18
79094,0,0,0,0,0
79095,519,25,4,0,494
79096,436,51,13,0,385
79097,298,19,0,0,279
79098,123,1,0,0,122
79101,487,48,35,0,439
79102,2503,227,76,34,2276
79103,2715,218,140,15,2497
79104,1410,15,15,0,1395
79105,0,0,0,0,0
79106,6797,340,75,5,6457
79107,9089,892,479,105,8197
79108,2602,126,39,17,2476
79109,10075,439,165,17,9636
79110,5279,369,174,0,4910
79111,440,25,9,0,415
79118,4391,183,30,0,4208
79119,3431,219,27,0,3212
79121,1126,43,0,0,1083
79124,1731,66,0,0,1665
79201,1203,146,44,0,1057
79220,62,3,0,0,59
79225,215,3,0,0,212
79226,589,2,1,0,587
79227,195,49,45,45,146
79229,40,0,0,0,40
79230,20,1,0,0,19
79231,0,0,0,0,0
79233,9,0,0,0,9
79234,11,11,0,0,0
79235,784,32,0,0,752
79236,52,3,0,0,49
79237,84,0,0,0,84
79239,21,0,0,0,21
79240,9,0,0,0,9
79241,512,30,8,0,482
79243,9,0,0,0,9
79244,113,4,0,0,109
79245,486,51,47,47,435
79247,10,3,0,0,7
79248,233,21,0,0,212
79250,363,36,16,0,327
79251,2,0,0,0,2
79252,698,97,12,0,601
79255,156,6,3,0,150
79256,73,8,0,0,65
79257,213,7,0,0,206
79258,6,0,0,0,6
79259,18,0,0,0,18
79261,101,0,0,0,101
79311,923,77,47,37,846
79312,294,16,6,0,278
79313,344,43,36,14,301
79314,11,4,0,0,7
79316,2129,52,22,0,2077
79322,373,23,11,0,350
79323,1586,75,37,0,1511
79324,0,0,0,0,0
79325,500,28,0,0,472
79326,0,0,0,0,0
79329,717,81,0,0,636
79330,61,0,0,0,61
79331,2397,248,105,0,2149
79336,4162,260,65,44,3902
79339,1494,123,56,19,1371
79342,88,1,0,0,87
79343,370,0,0,0,370
79344,26,0,0,0,26
79345,194,7,3,3,187
79346,459,37,17,7,422
79347,1529,41,4,0,1488
79350,67,17,9,0,50
79351,310,14,2,0,296
79353,20,0,0,0,20
79355,441,40,8,0,401
79356,882,12,3,0,870
79357,526,28,19,5,498
79358,177,12,8,2,165
79359,549,57,37,0,492
79360,3548,141,0,0,3407
79363,1281,103,17,14,1178
79364,1735,146,29,12,1589
79366,231,3,0,0,228
79367,253,31,0,0,222
79369,33,0,0,0,33
79370,285,23,5,0,262
79371,274,18,5,0,256
79372,359,5,5,0,354
79373,707,26,17,0,681
79376,26,5,0,0,21
79377,68,4,0,0,64
79378,140,2,0,0,138
79379,196,8,5,3,188
79380,65,0,0,0,65
79381,281,7,3,0,274
79382,1364,181,50,0,1183
79401,2808,58,15,0,2750
79403,4024,252,175,84,3772
79404,2682,208,111,0,2474
79406,3084,9,9,0,3075
79407,4927,129,45,0,4798
79410,2748,54,4,4,2694
79411,2451,97,42,0,2354
79412,4182,282,153,49,3900
79413,5650,344,104,0,5306
79414,5474,245,139,42,5229
79415,4557,328,212,73,4229
79416,9239,412,206,93,8827
79423,8661,557,133,9,8104
79424,10708,599,106,0,10109
79501,795,87,16,0,708
79502,184,22,1,0,162
79503,31,8,8,0,23
79504,679,25,8,0,654
79505,56,3,0,0,53
79506,139,7,0,0,132
79508,366,19,4,4,347
79510,1528,130,125,9,1398
79511,264,60,7,0,204
79512,1202,25,2,0,1177
79517,39,7,0,0,32
79518,11,0,0,0,11
79519,27,0,0,0,27
79520,490,30,30,0,460
79521,564,20,20,10,544
79525,304,15,0,0,289
79526,179,5,0,0,174
79527,40,9,0,0,31
79528,108,23,4,0,85
79529,328,15,0,0,313
79530,83,2,2,0,81
79532,155,14,9,0,141
79533,43,1,0,0,42
79534,6,0,0,0,6
79535,5,0,0,0,5
79536,1080,9,0,0,1071
79537,7,0,0,0,7
79538,22,0,0,0,22
79539,19,0,0,0,19
79540,7,0,0,0,7
79541,214,0,0,0,214
79543,214,3,3,0,211
79544,76,0,0,0,76
79545,401,29,0,0,372
79546,386,41,11,5,345
79547,125,13,0,0,112
79548,29,0,0,0,29
79549,3320,189,36,4,3131
79553,873,18,0,0,855
79556,2723,202,148,13,2521
79560,8,0,0,0,8
79561,130,6,6,0,124
79562,808,38,3,0,770
79563,280,16,16,0,264
79565,59,2,2,0,57
79566,29,25,25,0,4
79567,604,12,4,0,592
79601,6495,250,75,24,6245
79602,5515,439,155,0,5076
79603,5658,410,209,63,5248
79605,7072,395,105,39,6677
79606,5734,394,64,0,5340
79607,742,144,5,0,598
79699,111,0,0,0,111
79701,7580,595,278,67,6985
79703,6481,472,119,14,6009
79705,8112,585,100,0,7527
79706,4985,212,60,0,4773
79707,8897,679,201,28,8218
79713,90,7,0,0,83
79714,3914,422,151,42,3492
79718,142,7,4,0,135
79719,121,0,0,0,121
79720,6770,453,240,42,6317
79730,67,0,0,0,67
79731,1011,127,57,34,884
79733,65,0,0,0,65
79734,328,0,0,0,328
79735,2489,122,29,29,2367
79738,65,7,0,0,58
79739,183,5,0,0,178
79741,73,3,0,0,70
79742,78,4,0,0,74
79743,84,12,11,5,72
79744,320,32,19,14,288
79745,1551,111,49,0,1440
79748,17,3,3,0,14
79749,56,8,0,0,48
79752,560,74,25,21,486
79754,3,0,0,0,3
79755,30,0,0,0,30
79756,2198,155,39,39,2043
79758,325,0,0,0,325
79759,7,0,0,0,7
79761,8350,869,489,50,7481
79762,10315,1189,302,115,9126
79763,8378,869,319,6,7509
79764,5307,428,242,0,4879
79765,2848,354,59,24,2494
79766,1872,235,102,37,1637
79770,14,0,0,0,14
79772,2400,208,75,21,2192
79777,56,0,0,0,56
79778,174,6,4,0,168
79780,69,0,0,0,69
79781,50,0,0,0,50
79782,1074,10,10,0,1064
79783,56,4,0,0,52
79785,37,14,10,0,23
79788,92,22,0,0,70
79789,296,21,8,0,275
79821,1418,78,66,2,1340
79830,1698,27,2,0,1671
79831,0,0,0,0,0
79834,41,0,0,0,41
79835,3319,304,74,0,3015
79836,1118,74,45,0,1044
79837,79,0,0,0,79
79838,2062,153,153,72,1909
79839,399,40,24,17,359
79842,112,4,4,4,108
79843,417,42,0,0,375
79845,1083,42,11,0,1041
79846,18,12,0,0,6
79847,0,0,0,0,0
79848,175,6,0,0,169
79849,3092,207,88,0,2885
79851,200,13,8,5,187
79852,135,5,0,0,130
79853,867,46,46,19,821
79854,9,0,0,0,9
79855,546,25,21,0,521
79901,2184,86,44,0,2098
79902,5248,212,99,0,5036
79903,3218,205,142,0,3013
79904,8444,552,175,74,7892
79905,5596,288,193,30,5308
79906,1214,240,106,0,974
79907,13146,929,323,110,12217
79908,696,16,0,0,680
79911,1219,44,0,0,1175
79912,20029,982,384,72,19047
79915,8737,524,299,78,8213
79916,447,0,0,0,447
79920,0,0,0,0,0
79922,1977,89,30,0,1888
79924,14767,912,354,85,13855
79925,9719,688,259,48,9031
79927,10255,425,191,27,9830
79928,14955,798,309,63,14157
79930,7266,285,138,43,6981
79932,7331,440,159,23,6891
79934,6774,547,60,0,6227
79935,4607,178,147,16,4429
79936,30430,1464,519,123,28966
79938,18546,983,107,22,17563
79942,0,0,0,0,0
88063,4074,215,108,38,3859
88220,7268,753,526,153,6515
88430,3,0,0,0,3